,NAME,z_use,X_WORLD,Y_WORLD,SNR,FROM,epoch,f435w-f606w,f435w-f814w,f814w-f606w,mag_F814W,xc,yc,ns,rs,q,phi,psi11,psi12,psi22,psi111,psi112,psi122,psi222,err_xc,err_yc,err_ns,err_rs,err_q,err_phi,err_psi11,err_psi12,err_psi22,err_psi111,err_psi112,err_psi122,err_psi222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,a_pix,G1_fit,G2_fit,f1,f2,g1,g2,F,F_pix,G,stamp-size,X_IMAGE,Y_IMAGE,xs,ys,overlap_flag
0,abell2744_150,1.0343,3.567877772,-30.4251453,76.02258818,f606w_w_f814w,1,1.2309,1.6705,-0.4396,22.42921252,-2.528028763,-0.828956023,0.948087968,2.404472451,2.96900738,-0.47079222,0,0,0,0.013036486,-4.43E-05,-0.00149129,-0.011658226,0.049206836,0.024155428,0.005192647,0.010953272,0.0223517,0.002883383,0,0,0,0.000844166,0.000860741,0.000783197,0.000822216,1.165470948,0.005772598,-0.005851243,0.352196575,-113.0231969,45.75039517,-32.45800164,-24.01203387,-0.002735038,-0.00181204,0,0,0.001327689,0.001627277,0.440790472,-1.728686217,11.73988584,0.008755178,0.005762723,0.192419941,-0.195041438,0.291839253,0.192090778,0.273982839,0.008219485,0.349383767,77,6829.465902,1639.460133,204.8839771,49.183804,0
1,abell2744_192,0.4253,3.560894427,-30.42327736,23.25655361,f814w_w_f814w,1,1.7691,2.136,-0.3669,24.31220555,-1.082896597,-1.975102807,0.788958316,5.23384244,1.520635908,-0.91840751,0,0,0,0.000382171,0.000484228,-0.003761384,0.003538386,0.262277773,0.294078201,0.033583003,0.167186466,0.077391532,0.064911891,0,0,0,0.008755983,0.006256755,0.005487281,0.008528349,0.254334265,-0.001689607,0.002011307,0.281463602,52.39058601,32.97004293,-29.4615125,-22.34117442,0.006498578,0.000312766,0,0,0.001058649,0.001820351,1.208966917,-0.287818392,9.382120069,0.005833161,-0.001042852,-0.056320218,0.067043559,0.194438696,-0.034761719,0.087560298,0.002626809,0.197521603,72,7552.107829,1863.495858,226.5632349,55.90487573,0
2,abell2744_196ep1,0.4678,3.563477253,-30.42148825,385.9175148,f606w_w_f814w,1,1.6765,1.7176,-0.0411,20.85736754,-1.243547959,-2.220992979,0.852778257,6.208383249,1.164283441,-0.560839634,0,0,0,0.003668324,-0.006139675,0.006986068,0.011312668,0.002368244,0.000364243,0.000612542,0.00482254,0.000316828,0.004839322,0,0,0,0.000303483,0.000430908,0.000261881,0.000430396,7.497708412,0.005327196,0.002586496,0.462615732,-131.129106,-56.35139832,-31.92756494,155.3641531,-0.001113367,0.000438485,0,0,0.001099727,0.00129588,0.341568803,-1.856063945,15.42052439,-0.008644941,-0.014865847,0.177573211,0.086216541,-0.288164687,-0.495528241,0.197396903,0.005921907,0.573225195,103,7284.884896,2078.236601,218.5465469,62.34709802,0
3,abell2744_203,1.6205,3.558471737,-30.4215649,31.38919758,f606w_w_f814w,1,0.7871,0.3354,0.4517,24.02979142,-1.186601517,-1.648899838,0.73188983,2.68426318,1.718907251,0.273817879,0,0,0,0.012455201,-0.015491245,0.000841271,-0.009024181,0.155610369,0.106485126,0.025563742,0.069788719,0.075389614,0.03929488,0,0,0,0.00993536,0.00610409,0.008531925,0.017371527,0.349250721,0.006648236,-0.012257713,0.166598652,-1.037765357,-3.691891449,-10.6014971,10.78197418,0.014173263,-0.036754872,0,0,0.000917263,0.001492115,1.032389804,-0.873605427,5.553288412,0.004965694,-0.018724777,0.221607879,-0.408590436,0.165523122,-0.624159225,0.464818455,0.013944554,0.645734188,47,7802.844574,2068.939464,234.0853372,62.06818392,0
4,abell2744_281ep1,1.8033,3.561208995,-30.41985184,21.42806203,f606w_w_f814w,1,1.1366,0.5857,0.5509,26.38473714,-0.935873879,-1.57635023,0.451334716,2.400877408,2.197210022,-1.022087805,0,0,0,-0.04411219,0.012649972,-0.026456819,-0.030718102,0.311411462,0.298766497,0.051116922,0.152707114,0.211382738,0.059744175,0,0,0,0.070789547,0.046601334,0.029167449,0.022312199,0.202818161,-0.035284505,-0.009034065,0.137000214,-5.081229961,1.595629347,-1.638235062,13.02962483,-0.013684773,0.014367964,0,0,0.000786906,0.001210627,0.899297353,-1.165306792,4.566673812,0.017629134,0.034334009,-1.176150155,-0.301135499,0.58763779,1.144466968,1.214088867,0.036422666,1.286515765,35,7519.639076,2274.563469,225.5891723,68.23690408,0
5,abell2744_329,2.3865,3.563077427,-30.41697836,49.09982006,f606w_w_f814w,1,1.1965,1.2092,-0.0127,23.0958155,-3.01583527,-5.963256854,0.535425501,5.096910903,7.583876639,1.327822916,0,0,0,0.006743527,0.002252293,-0.001361922,0.004767643,0.034666264,0.069409661,0.015594941,0.052361423,0.166549997,0.003073604,0,0,0,0.001707778,0.001058426,0.033274507,0.001430261,0.335876531,0.002690803,0.003509968,0.614914358,94.80216306,52.88935499,46.40623534,4245.195584,0.005805418,0.002653587,1,0,0.000679137,0.001153367,1.121242902,-0.711728753,20.49714526,0.005414646,0.000994619,0.089693425,0.116998936,0.180488202,0.033153953,0.147423409,0.004422702,0.183507971,169,7326.356687,2619.415061,219.7907006,78.58245183,0
6,abell2744_348ep1,3.3899,3.558657163,-30.41741644,28.08572858,f606w_w_f814w,1,2.2216,1.9403,0.2813,25.49752893,-1.796996745,-0.735996642,1.01524673,1.340519583,1.985757088,-1.393180856,0,0,0,0.02906484,-0.030595232,-0.011975912,-0.028757633,0.073838137,0.111888709,0.034291393,0.041659379,0.110436872,0.03843963,0,0,0,0.021824858,0.008929138,0.006856864,0.008573306,0.273764246,0.008544464,-0.029676433,0.16855421,4.105322175,-9.415500443,11.50792893,-17.13982085,0.006790515,-0.017702087,0,0,0.000931997,0.001248003,0.599236176,-1.624933004,5.618473674,0.032496288,-0.031514031,0.284815462,-0.989214423,1.083209611,-1.050467713,1.029400321,0.03088201,1.508915332,38,7783.767078,2566.757272,233.5130123,77.00271816,0
7,abell2744_394,0.8681,3.551570131,-30.41532047,85.10684013,f606w_w_f814w,1,1.0048,1.2081,-0.2033,22.07924992,0.285926209,0.394715477,1.960623202,1.154095676,2.011323782,0.350375953,0,0,0,-0.004475065,-0.001814038,0.006238259,-0.016005941,0.036205395,0.016248377,0.00247488,0.005360008,0.011314746,0.004858622,0,0,0,0.000115154,0.000434892,0.000262125,0.0004769,1.238340814,0.000881597,-0.00890999,0.618098764,169.7409263,276.3605445,1157.649952,-2325.738494,0.003055075,-0.002893305,1,0,0.001385958,0.00131123,-0.095853873,-1.956812178,20.60329213,-0.011594921,0.005281913,0.029386564,-0.296999656,-0.386497356,0.176063769,0.298449939,0.008953498,0.424710085,142,8517.222229,2818.094333,255.5166669,84.54283,0
8,abell2744_419,0.3198,3.550040118,-30.41506283,60.64036967,f606w_w_f814w,1,2.1563,2.2621,-0.1058,23.58558405,-1.404037074,-1.235691453,1.107076726,2.000561263,2.789242398,0.527478692,0,0,0,-0.003100917,-0.000738856,-0.004321524,0.006349882,0.065811657,0.04053374,0.009037461,0.018555568,0.038766516,0.00564305,0,0,0,0.001744554,0.001574724,0.00207349,0.002868922,0.261309801,-0.003711221,0.002805513,0.340970743,48.7186751,-22.14077802,17.35896144,9.404411393,0.009509323,-0.010152336,0,0,0.00106026,0.001281815,0.390813337,-1.827087579,11.36569144,0.004931828,-0.004283225,-0.12370735,0.093517098,0.164394252,-0.14277416,0.155077259,0.004652318,0.217738216,72,8675.564437,2848.966449,260.2669331,85.46899346,0
9,abell2744_438,0.6407,3.561461903,-30.41467269,21.98836333,f814w_w_f814w,1,1.3545,1.4102,-0.0557,24.78979319,-2.058959631,-1.499284608,0.749603398,3.201076853,2.748040232,0.001509166,0,0,0,0.005799508,-0.006479983,0.015915893,0.022471743,0.304383971,0.127433235,0.028930484,0.093339555,0.134921557,0.021680249,0,0,0,0.005306304,0.002899934,0.005303203,0.014040651,0.261181334,0.010857701,0.00799588,0.277591986,3.18251221,-86.50063361,71.27404315,1.769950935,0.013489066,-0.030816641,0,0,0.000824363,0.001223301,0.823502011,-1.288570445,9.253066216,-0.020974085,-0.020955846,0.361923357,0.266529325,-0.699136171,-0.6985282,0.449473467,0.013484204,0.988298048,64,7493.590246,2896.064104,224.8077074,86.88192313,0
