,NAME,z_use,X_WORLD,Y_WORLD,SNR,FROM,epoch,f435w-f606w,f435w-f814w,f814w-f606w,mag_F814W,xc,yc,ns,rs,q,phi,psi11,psi12,psi22,psi111,psi112,psi122,psi222,err_xc,err_yc,err_ns,err_rs,err_q,err_phi,err_psi11,err_psi12,err_psi22,err_psi111,err_psi112,err_psi122,err_psi222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,a_pix,G1_fit,G2_fit,f1,f2,g1,g2,F,F_pix,G,stamp-size,X_IMAGE,Y_IMAGE,xs,ys,overlap_flag
0,abell2744_6,1.0291,3.46497955,-30.42124479,67.57762095,f814w_w_f814w,1,1.9456,2.7014,-0.7558,23.93457613,-2.000000019,-2.000000007,1.607257643,1.468744887,2.942197468,0.453801643,0,0,0,-0.01260138,0.000198484,-0.009205512,0.02027695,0.043994427,0.030922515,0.007610139,0.013914129,0.029582229,0.002365919,0,0,0,0.000739313,0.000776135,0.000955194,0.00075121,0.839969094,-0.010903446,0.010237717,0.468021275,137.318221,4.266481323,2.565911985,168.2681331,8.71E-05,0.003866718,1,0,0.000630385,0.000472471,-0.582507833,-1.655998976,15.60070917,0.007507579,-0.009840749,-0.36344821,0.341257236,0.250252617,-0.328024971,0.498548997,0.01495647,0.41258545,95,5399.389249,258.6301385,161.9816775,7.758904156,0
1,abell2744_11,1.1765,3.466868752,-30.42117989,54.27407871,f606w_w_f814w,1,0.8599,0.6043,0.2556,25.24089296,-0.976438627,-1.00140271,0.783106574,2.597575112,2.161455642,0.513008862,0,0,0,-0.023088232,-0.018427906,0.00733363,-0.003932644,0.038210934,0.029458274,0.004138838,0.018917056,0.018601273,0.005421235,0,0,0,0.001344354,0.00222605,0.002333294,0.003438364,0.384238572,-0.007877301,-0.011180275,0.238029541,-101.964576,-45.11866965,-6.878771352,-10.25316406,-0.00339099,-0.006273363,0,0,0.000327581,0.000355143,0.162668197,-1.971681185,7.934318042,-0.02254456,-0.025675537,-0.262576713,-0.372675835,-0.751485349,-0.855851222,0.455887934,0.013676638,1.138951949,49,5203.899426,266.4288848,156.1169828,7.992866543,0
2,abell2744_12,3.1109,3.465667263,-30.42089904,42.32695767,f606w_w_f814w,1,2.0627,1.7194,0.3433,24.72119684,-2.044151568,-1.654744685,2.200942971,0.288382237,2.567038986,-1.072484579,0,0,0,0.023099017,-0.010608533,0.000897125,-0.012377724,0.030185987,0.030636941,0.022638216,0.011305056,0.068241051,0.008145198,0,0,0,0.000738045,0.00083255,0.002072911,0.00302903,0.637057404,0.011998071,-0.011493129,0.388496582,23.00537563,121.547585,-218.8932611,576.2356344,0.002104328,0.008656428,1,0,0.000562337,0.000471365,-0.322196773,-1.839926609,12.94988607,0.010203821,-0.009723937,0.399935705,-0.38310429,0.340127381,-0.324131246,0.553820788,0.016614624,0.469837951,69,5328.22942,300.1242145,159.8468826,9.003726434,0
5,abell2744_24,2.7072,3.469919168,-30.42039698,37.90795928,f606w_w_f814w,1,1.0117,0.4169,0.5948,25.44818801,-1.4158747,-1.538963552,0.503352837,2.533047076,2.151970123,-1.270334815,0,0,0,0.035030985,0.009278217,0.009924919,0.017704443,0.062835351,0.088567519,0.012066117,0.033031265,0.045549908,0.012626303,0,0,0,0.015533185,0.006019046,0.003688039,0.005024838,0.403134172,0.022477952,0.01349133,0.154071301,-6.879592402,0.470403856,4.498405254,3.049222535,-0.006705506,0.002725284,0,0,0.000318411,0.000416884,0.625401059,-1.423747388,5.135710033,0.002628113,0.005065104,0.749265069,0.449710996,0.087603778,0.168836815,0.873863905,0.026215917,0.190211178,36,4888.252685,360.3878555,146.6475806,10.81163566,0
7,abell2744_31,0.9875,3.466069229,-30.41962915,24.89055515,f606w_w_f814w,1,0.9344,0.7008,0.2336,25.98923502,-1.98790194,-0.846740776,0.883056751,2.793233849,1.243109519,1.022130021,0,0,0,0.040700245,0.005148119,-0.001259395,-0.043981519,0.059140995,0.064311539,0.01659159,0.046561358,0.033069054,0.063786349,0,0,0,0.005248398,0.003972108,0.003658278,0.003613632,0.306693,0.019720425,-0.0194167,0.19889607,-22.99254045,21.72128148,-12.92165135,-40.00305749,-0.009121011,-0.011594849,0,0,0.000264236,0.000343848,0.533483667,-1.714019005,6.629869015,0.022239214,0.029712938,0.657347506,-0.647223336,0.741307147,0.990431279,0.922498667,0.02767496,1.237129906,45,5286.645681,452.512725,158.5993704,13.57538175,0
13,abell2744_46,2.9307,3.468714359,-30.41830333,25.35713071,f606w_w_f814w,1,1.5561,1.0911,0.465,26.6466264,-2.752960615,-1.987848255,0.665639665,2.795861965,1.761286367,0.086963245,0,0,0,0.034401184,0.003755039,0.024498254,-0.032623273,0.12659971,0.088170355,0.025143051,0.065478122,0.071726889,0.035311444,0,0,0,0.005958081,0.004070469,0.006396887,0.016811108,0.379264805,0.029449719,-0.014434117,0.190853775,-1.515056955,7.181360108,1.594039601,6.988237193,0.000772328,0.005651156,0,0,0.000272741,0.000346063,0.481313899,-1.767088752,6.361792506,-0.01954679,0.021944196,0.981657306,-0.481137233,-0.651559659,0.731473188,1.093226464,0.032796794,0.979583081,42,5012.936851,611.6215526,150.3881055,18.34864658,0
14,abell2744_55,2.3995,3.4674579,-30.4174541,41.76116449,f606w_w_f814w,1,1.2515,0.9622,0.2893,25.72327259,-2.207658256,-1.403761527,0.980846583,1.484068505,2.836220731,1.560896564,0,0,0,0.026490259,-0.001168317,0.001192122,-0.009183509,0.031101645,0.066209171,0.012037726,0.016796142,0.055542688,0.007434667,0,0,0,0.009605844,0.003019627,0.001676639,0.003028413,0.311041672,0.01384119,-0.005175913,0.22084888,-7.612915768,4.049567668,-10.76531159,-74.92374686,-0.005590087,-0.003397927,0,0,0.000323939,0.00035651,0.192750675,-1.961150659,7.361629343,0.011456947,0.002839279,0.461373015,-0.172530438,0.38189823,0.094642639,0.492576705,0.014777301,0.393450743,45,5142.962417,713.5241303,154.2888725,21.40572391,0
15,abell2744_65,1.0459,3.471065621,-30.41657597,34.854064,f814w_w_f814w,1,1.0137,1.1412,-0.1275,25.40086973,-1.291332995,-2.440090267,1.710136577,1.417049425,1.546525191,-1.117534396,0,0,0,-0.015745854,-0.013295794,0.016684944,0.015521473,0.079587027,0.095476412,0.024982364,0.038766149,0.047058192,0.035146604,0,0,0,0.003399957,0.002280065,0.002138026,0.003096244,0.400021473,0.000469545,0.00111284,0.398990946,-98.14531689,-92.88409274,188.4840181,-113.425874,-0.002451367,-0.004450612,0,0,0.000266866,0.000345401,0.522252733,-1.726008879,13.29969821,-0.032900343,-0.027704427,0.015651497,0.037094659,-1.0966781,-0.92348091,0.040261434,0.001207843,1.433708425,81,4769.632125,818.9077684,143.0889638,24.56723305,0
16,abell2744_73,2.5778,3.46912361,-30.41644213,27.44537096,f606w_w_f814w,1,1.6834,1.4669,0.2165,25.87649003,-1.769624153,-2.833947382,0.84716096,2.661401258,2.000100435,0.649122452,0,0,0,0.009321061,-0.009667001,0.002424594,0.035053487,0.093726721,0.076265293,0.016008178,0.039871596,0.047857123,0.018307574,0,0,0,0.004955633,0.00419863,0.00373839,0.00468542,0.269910617,0.005872827,0.012693243,0.245210757,2.632174998,-27.27186036,7.263982817,31.570762,0.003997459,-0.00119805,0,0,0.000287805,0.000349849,0.39357938,-1.843742072,8.173691914,0.001023639,-0.032027244,0.195760916,0.423108102,0.0341213,-1.067574811,0.466200388,0.013986012,1.068119956,51,4970.597337,834.9658742,149.1179201,25.04897623,0
17,abell2744_74,1.9419,3.463083057,-30.41646012,25.07996624,f606w_w_f814w,1,0.8067,0.1822,0.6245,26.25242933,-1.585496759,-1.604426339,0.877533711,1.60421975,2.263986985,1.107083091,0,0,0,0.051136782,0.012077828,-0.013384134,-0.002281406,0.069709484,0.10865361,0.024670945,0.0359943,0.09014595,0.023871087,0,0,0,0.014443991,0.009834237,0.007163143,0.008587831,0.231293182,0.018876324,0.004898211,0.173063192,-0.924670307,11.48959243,16.4320912,6.736603965,0.003825113,-0.001039536,0,0,0.000322702,0.00035579,0.196198251,-1.960174527,5.768773071,0.045644592,0.019257445,0.629210799,0.163273697,1.521486411,0.641914847,0.650049637,0.019501489,1.651355676,35,5595.690539,832.7729825,167.8707162,24.98318947,0
