# x,y,z,concentration,mass,chi2
1.866288061538123486e+02,1.496524069086036661e+02,0.000000000000000000e+00,2.462759350819248017e+00,6.644219740074600000e+15,3.940547048200181052e+03
2.994635007700337042e+02,1.151909582665316520e+02,0.000000000000000000e+00,2.470805884901183358e+00,6.391151347313212000e+15,3.982871454143426945e+03
1.420140080725500695e+02,1.639913024647126463e+02,0.000000000000000000e+00,2.828269864886909790e+00,1.279326086738331500e+15,3.847405414443463997e+03
2.342141712967281251e+02,1.141447227519618082e+02,0.000000000000000000e+00,2.461030458813264321e+00,6.699999898694581000e+15,4.018480861770862703e+03
1.230028208248899375e+02,1.965739299807674172e+02,0.000000000000000000e+00,7.805994653874634537e+00,7.212462975107577324e+09,3.863673748515625448e+03
1.872702085909040193e+02,2.777830496684076707e+02,0.000000000000000000e+00,5.013630325549817357e+00,1.403081484139677979e+12,3.863706613794990517e+03
1.586678332537586584e+02,2.237982790273456715e+02,0.000000000000000000e+00,2.495287427281453585e+00,5.683338078319999000e+15,3.963486623317800877e+03
1.163251503978161168e+02,1.068181666561574445e+02,0.000000000000000000e+00,2.111030642012714509e+00,4.161014404310667200e+16,4.336978805644759632e+03
1.704662436558390652e+02,6.616358203900840351e+01,0.000000000000000000e+00,2.492638666518876889e+00,5.755652580195029000e+15,4.041742482080559057e+03
3.524731355603215377e+01,2.312493451032281371e+02,0.000000000000000000e+00,7.854471861882581507e+00,6.700000000000000000e+09,3.863740110329426443e+03
2.489053272369085903e+02,2.499757298150303768e+02,0.000000000000000000e+00,2.028229000739898868e+00,6.700000000000000000e+16,4.358849060056434610e+03
2.042850539671035222e+02,6.180404911597211992e+01,0.000000000000000000e+00,2.461030517398337558e+00,6.699997999954889000e+15,4.055292533597191323e+03
1.130120921542208663e+02,2.902916904238418283e+02,0.000000000000000000e+00,2.465662698814792719e+00,6.551676703767576000e+15,4.036750422450048063e+03
2.035630548503671662e+02,1.054360193967195585e+02,0.000000000000000000e+00,2.028229067378165773e+00,6.699997379391585600e+16,4.520401028392827357e+03
