# x,y,z,concentration,mass,chi2
1.873118779684370168e+02,1.403882620899026392e+02,0.000000000000000000e+00,2.488234089686772510e+00,5.878121005645186000e+15,3.927772183690544807e+03
2.994635007700337042e+02,1.151909582665316520e+02,0.000000000000000000e+00,2.470805884901183358e+00,6.391151347313212000e+15,3.982871454143426945e+03
1.420140080725500695e+02,1.639913024647126463e+02,0.000000000000000000e+00,2.828269864886909790e+00,1.279326086738331500e+15,3.847405414443463997e+03
2.342141712967281251e+02,1.141447227519618082e+02,0.000000000000000000e+00,2.461030458813264321e+00,6.699999898694581000e+15,4.018480861770862703e+03
1.224948428064323878e+02,1.893899495364165659e+02,0.000000000000000000e+00,2.232074620502740636e+00,2.142571208142398800e+16,4.109762858167906415e+03
1.943642092574456797e+02,2.949753014451356989e+02,0.000000000000000000e+00,2.684373083276031746e+00,2.382084141697745500e+15,3.915348619499997767e+03
1.586678332537586584e+02,2.237982790273456715e+02,0.000000000000000000e+00,2.495287427281453585e+00,5.683338078319999000e+15,3.963486623317800877e+03
1.144340859459355215e+02,1.224089776497081061e+02,0.000000000000000000e+00,2.028229000739898868e+00,6.700000000000000000e+16,4.414472188903728238e+03
1.681569545824736167e+02,6.964619608925799810e+01,0.000000000000000000e+00,2.471197806959525067e+00,6.379094979131831000e+15,4.047758690326594660e+03
3.536383254523364883e+01,2.319844802899860383e+02,0.000000000000000000e+00,7.854471861882581507e+00,6.700000000000000000e+09,3.863714212549044532e+03
1.838484339091883442e+02,2.694904071079483856e+02,0.000000000000000000e+00,2.705237950149975479e+00,2.172331976588095250e+15,3.903930648451637808e+03
2.489053272369085903e+02,2.499757298150303768e+02,0.000000000000000000e+00,2.028229000739898868e+00,6.700000000000000000e+16,4.358849060056434610e+03
2.042850539671035222e+02,6.180404911597211992e+01,0.000000000000000000e+00,2.461030517398337558e+00,6.699997999954889000e+15,4.055292533597191323e+03
1.130120921542208663e+02,2.902916904238418283e+02,0.000000000000000000e+00,2.465662698814792719e+00,6.551676703767576000e+15,4.036750422450048063e+03
1.179430695853079243e+02,9.347929170139912003e+01,0.000000000000000000e+00,2.734278713889030321e+00,1.913022686124034000e+15,3.935979438512950765e+03
2.035630548503671662e+02,1.054360193967195585e+02,0.000000000000000000e+00,2.028229067378165773e+00,6.699997379391585600e+16,4.520401028392827357e+03
1.852011639452763063e+02,1.688242586387367510e+02,0.000000000000000000e+00,2.709104517332966644e+00,2.135707632904376000e+15,3.876949968256400552e+03
1.241984883856627135e+02,2.134834261842026137e+02,0.000000000000000000e+00,2.532001667003132450e+00,4.776246347456958000e+15,3.954037782253199566e+03
1.781667139326010272e+02,5.455058551610107997e+01,0.000000000000000000e+00,2.461030459059102782e+00,6.699999890726964000e+15,4.052829757245317069e+03
