i,x,y,M200,concentration
292,13.742169163308816,108.23879254287402,1.9772864880671244e+16,2.2471777459720124
292,10.349261734312186,99.89305016459949,6699999813390006.0,2.4610304614453127
292,66.59099586993052,94.6176708213276,2974464429047919.0,2.6347592272711253
554,88.14281873622383,58.61620943793852,5847769072953796.0,2.4893163617586116
554,13.694061874554592,108.20021243190033,1.502896549434295e+16,2.2995625556051276
554,10.349261730165324,99.89305015583108,6699999845020439.0,2.4610304604693645
554,66.59099586993052,94.6176708213276,2791423426240398.5,2.6488533279364668
618,88.14281873622383,58.61620943793852,5847769072953796.0,2.4893163617586116
618,13.742169163308816,108.23879254287402,1.97779360565498e+16,2.247129340392687
618,10.349261734312186,99.89305016459949,6699999898690032.0,2.4610304588134047
618,66.59099586993052,94.6176708213276,3174171252276240.0,2.620416478891645
174,88.14281873622383,58.61620943793852,5847769072953796.0,2.4893163617586116
174,13.742169163308816,108.23879254287402,2.1065132486875604e+16,2.2352591393295302
174,10.349261734312186,99.89305016459949,6699999898690032.0,2.4610304588134047
174,66.59099586993052,94.6176708213276,2732944246746617.5,2.6535684002298603
402,88.14281873622383,58.61620943793852,5847769072953796.0,2.4893163617586116
402,13.742169163308816,108.23879254287402,1.624006634643701e+16,2.2846406325982906
402,10.349261734312186,99.89305016459949,6699999880487849.0,2.461030459375028
402,66.59099586993052,94.6176708213276,2134371803043170.0,2.7092469014879246
265,88.14281873622383,58.61620943793852,5847769072953796.0,2.4893163617586116
265,13.742169163308816,108.23879254287402,1.955393360008208e+16,2.2492804276161276
265,10.349261734312186,99.89305016459949,6699999898690032.0,2.4610304588134047
265,66.59099586993052,94.6176708213276,3074997934295897.0,2.6274127680123494
189,88.14281873622383,58.61620943793852,5847769072953796.0,2.4893163617586116
189,13.742169163308816,108.23879254287402,1.3049739747671632e+16,2.32700178370953
189,10.349261734312186,99.89305016459949,6699999898690032.0,2.4610304588134047
189,66.59099586993052,94.6176708213276,6281906115065299.0,2.474386802062328
652,88.14281873622383,58.61620943793852,5847769072953796.0,2.4893163617586116
652,13.742169163308816,108.23879254287402,1.8152421939141784e+16,2.263376315914652
652,10.349261734312186,99.89305016459949,6699999898690032.0,2.4610304588134047
652,66.59099586993052,94.6176708213276,3671121319716500.5,2.5885954157918563
361,88.14281873622383,58.61620943793852,5847769072953796.0,2.4893163617586116
361,13.742169163308816,108.23879254287402,1.2600025669830374e+16,2.333866829286031
361,10.349261734312186,99.89305016459949,6699999898690032.0,2.4610304588134047
361,66.59099586993052,94.6176708213276,2974747717718608.0,2.6347381498132703
839,88.14281873622383,58.61620943793852,5847769072953796.0,2.4893163617586116
839,13.742169163308816,108.23879254287402,2.1198642820280144e+16,2.234073179551459
839,10.349261734312186,99.89305016459949,6699999898690032.0,2.4610304588134047
