i,x,y,M200,concentration
589,72.77809787724554,45.035367022221934,373601624120778.8,3.1363529933702363
589,87.33890108311826,28.6950507233349,343890419497154.0,3.1582607654171984
589,19.447573923112735,91.56684693567637,4384651158776.798,4.556010619607587
589,135.53484952710772,80.95488985146808,89111938299.26703,6.319935658213156
392,72.77809787724554,45.035367022221934,374727903672700.06,3.135560066822439
392,87.33890108311826,28.6950507233349,344679799263699.75,3.157652555648427
392,23.210507617696173,90.55599138592942,1873928563742.1868,4.893234364067512
80,72.77809787724554,45.035367022221934,370538415469823.7,3.1385227386791765
80,87.33890108311826,28.6950507233349,342363055667853.6,3.159441893852171
80,23.210507617696173,90.55599138592942,1848702682709.5073,4.8988082169927125
649,72.77809787724554,45.035367022221934,372208060311115.06,3.137337688366964
649,87.33890108311826,28.6950507233349,344253322722560.5,3.1579809641146763
649,23.210507617696173,90.55599138592942,1850100744892.0562,4.8984971519643565
373,80.88830551788841,38.83721555626498,397338780448467.6,3.1201663690041403
1087,72.77809787724554,45.035367022221934,375875982831527.44,3.1347544473181967
1087,87.33890108311826,28.6950507233349,347111071133109.7,3.155788727329353
1087,23.210507617696173,90.55599138592942,1850693838068.7822,4.8983652673156515
11,72.77809787724554,45.035367022221934,374704451690363.3,3.1355765512043483
11,87.33890108311826,28.6950507233349,343783696884318.4,3.1583431103165793
11,23.210507617696173,90.55599138592942,1887188462648.1104,4.890337008093278
964,72.77809787724554,45.035367022221934,369719792693914.0,3.1391058824936984
964,87.33890108311826,28.6950507233349,343030903821423.3,3.158924737691818
964,23.210507617696173,90.55599138592942,1962753455849.6182,4.874235950782452
272,72.77809787724554,45.035367022221934,381955076993032.5,3.130532663577643
272,87.33890108311826,28.6950507233349,350838126012616.9,3.152958844127347
272,23.210507617696173,90.55599138592942,1723045138617.0886,4.92785990423558
1009,72.77809787724554,45.035367022221934,377431688929794.5,3.1336670374913917
1009,87.33890108311826,28.6950507233349,349188695523326.0,3.15420718642348
1009,23.210507617696173,90.55599138592942,1949383442053.9988,4.877035318918058
1017,75.84913626476602,43.90790870773144,386635821628269.1,3.127331333547666
399,72.77809787724554,45.035367022221934,375684502270105.4,3.1348886257979234
399,87.33890108311826,28.6950507233349,344767222284244.25,3.1575852899109553
378,76.46203229239038,43.099978394873034,395321054168631.5,3.121500984721471
568,72.77809787724554,45.035367022221934,372729109667534.56,3.1369690467843085
568,87.33890108311826,28.6950507233349,343911870200057.5,3.1582442178543246
568,23.210507617696173,90.55599138592942,1887746204298.2798,4.890215622730323
259,72.77809787724554,45.035367022221934,375916895358618.3,3.1347257877975188
259,87.33890108311826,28.6950507233349,344462336228711.06,3.1578199580909123
259,23.210507617696173,90.55599138592942,1769798294501.5002,4.916790171409537
799,72.77809787724554,45.035367022221934,371865844589509.3,3.137580109926595
799,87.33890108311826,28.6950507233349,343536640081978.7,3.1585338404635794
799,23.210507617696173,90.55599138592942,1852194865968.091,4.898031692088741
511,72.77809787724554,45.035367022221934,369684406792691.75,3.1391311210983504
511,87.33890108311826,28.6950507233349,340623183363444.2,3.1607943367933817
511,19.1564311687237,90.96624376178478,4444099309641.542,4.550859589851637
511,135.53484952710772,80.95488985146808,87581921201.93515,6.329136415162731
751,72.77809787724554,45.035367022221934,375076716832972.3,3.135315018227582
751,87.33890108311826,28.6950507233349,345180842141563.2,3.1572672896078346
751,23.210507617696173,90.55599138592942,1914458688718.35,4.8844470692134365
607,72.77809787724554,45.035367022221934,371587543901927.25,3.137777433201836
607,87.33890108311826,28.6950507233349,341981452393195.0,3.159737884063181
607,18.898200012589058,90.66318944839894,4950248713349.113,4.50981370423943
607,135.53484952710772,80.95488985146808,91505104628.20157,6.305882361841119
922,72.77809787724554,45.035367022221934,373803919191896.0,3.1362103822664147
922,87.33890108311826,28.6950507233349,343345496166173.9,3.1586815073901837
922,23.210507617696173,90.55599138592942,1879439880238.0117,4.892027422629361
510,72.77809787724554,45.035367022221934,375313909901546.94,3.1351485261622543
510,87.33890108311826,28.6950507233349,344670828077291.4,3.1576594593785194
510,23.210507617696173,90.55599138592942,1829031326062.349,4.903212274701698
314,72.77809787724554,45.035367022221934,375467045005786.3,3.1350410971758427
314,87.33890108311826,28.6950507233349,340969348644539.9,3.1605246586717985
314,23.210507617696173,90.55599138592942,1931387395692.3352,4.880836307654544
716,72.77809787724554,45.035367022221934,371496549083509.0,3.137841985927496
716,87.33890108311826,28.6950507233349,341437966585809.1,3.1601600569463706
716,23.210507617696173,90.55599138592942,1936161382779.8496,4.879824252560615
698,72.77809787724554,45.035367022221934,377948457552981.1,3.133306900433439
698,87.33890108311826,28.6950507233349,348108114380988.1,3.1550284755756604
698,23.210507617696173,90.55599138592942,1773716781283.3828,4.915876826328103
247,71.82280995148528,42.39087346335261,381449174228412.25,3.1308812128971635
538,72.77809787724554,45.035367022221934,371081001101086.7,3.1381369982620844
538,87.33890108311826,28.6950507233349,341714076659062.9,3.1599454871840837
538,23.210507617696173,90.55599138592942,1887876868765.5881,4.890187190894742
979,78.85709009685111,41.91446751423551,398863203167778.0,3.1191629094405355
323,79.53632955939509,45.307425596669475,375976787790436.1,3.1346838388137517
323,57.74481767168663,25.13046541049229,180015472368087.94,3.334734368970971
323,23.210507617696173,90.55599138592942,1855985073554.4692,4.897190692210286
474,72.77809787724554,45.035367022221934,375622592323671.2,3.1349320245601593
474,87.33890108311826,28.6950507233349,346861612039358.44,3.1559793117073878
474,23.210507617696173,90.55599138592942,1870414833134.0186,4.894005857886567
90,72.77809787724554,45.035367022221934,372730172631895.8,3.1369682953098224
90,87.33890108311826,28.6950507233349,344953586638862.4,3.1574419576188015
90,23.210507617696173,90.55599138592942,1843257500910.7683,4.900022190517508
933,72.77809787724554,45.035367022221934,374500365182159.44,3.1357200506992156
933,87.33890108311826,28.6950507233349,344513879523310.3,3.157780269848782
933,23.210507617696173,90.55599138592942,1897827724841.609,4.888028186129252
212,72.77809787724554,45.035367022221934,371559614464410.94,3.137797244829442
212,87.33890108311826,28.6950507233349,343004275977448.6,3.158945336381425
212,23.210507617696173,90.55599138592942,1912223477572.1035,4.884926407600152
1002,72.77809787724554,45.035367022221934,375100723153482.4,3.1352981623682687
1002,87.33890108311826,28.6950507233349,345464193119695.4,3.157049681280178
1002,23.210507617696173,90.55599138592942,1916763743548.8228,4.883953387902194
133,72.77809787724554,45.035367022221934,373407419658078.56,3.1364899796456664
133,87.47358192957785,28.64773648964931,342982451406747.6,3.1589622206615946
133,23.210507617696173,90.55599138592942,1867177151560.153,4.894718132918464
168,72.77809787724554,45.035367022221934,375359713037185.25,3.1351163888737954
168,87.33890108311826,28.6950507233349,344496634103742.94,3.157793548073607
168,23.210507617696173,90.55599138592942,1893745013094.084,4.888912510838843
26,71.3733444313615,44.33101744811929,371903524353490.1,3.1375534061834287
95,72.77809787724554,45.035367022221934,374796042767632.1,3.1355121782446567
95,87.33890108311826,28.6950507233349,344377127804160.7,3.1578855825410033
95,23.210507617696173,90.55599138592942,1878024278669.223,4.892337063384295
768,72.77809787724554,45.035367022221934,375593490930404.0,3.1349524272641167
768,87.33890108311826,28.6950507233349,345350933659027.3,3.157136639238295
768,23.210507617696173,90.55599138592942,1890899656215.7864,4.889530044578285
39,72.77809787724554,45.035367022221934,374945006811043.06,3.1354075182535888
39,87.33890108311826,28.6950507233349,345391398286688.75,3.157105567897129
39,23.210507617696173,90.55599138592942,1876428575624.699,4.892686402005663
404,72.77809787724554,45.035367022221934,375988268433340.0,3.1346757985366063
404,87.33890108311826,28.6950507233349,345963329434016.0,3.1566668239702556
404,12.601801067702588,85.84132303480838,3529572771844.982,4.63979306928069
404,135.53484952710772,80.95488985146808,90637363223.16522,6.310931431311554
781,72.77809787724554,45.035367022221934,374751562783174.2,3.135543437983447
781,87.33890108311826,28.6950507233349,345400028452575.6,3.1570989416117676
781,23.210507617696173,90.55599138592942,1817780982713.3928,4.905754161862562
444,72.77809787724554,45.035367022221934,375860596879962.56,3.1347652261633487
444,87.33890108311826,28.6950507233349,347619189496265.25,3.1554009885197045
444,23.210507617696173,90.55599138592942,1851525718870.3147,4.898180361236418
671,72.77809787724554,45.035367022221934,373779810235921.94,3.136227373863829
671,87.33890108311826,28.6950507233349,344915503563252.7,3.1574712403782668
671,23.210507617696173,90.55599138592942,1900288738166.2925,4.887496120636057
432,81.09662658967473,38.351992710695576,394772178946373.75,3.121865313480835
432,15.927326386165419,82.18936820811811,3541362458768.541,4.638493579451369
432,135.53484952710772,80.95488985146808,89334613676.41322,6.318610887623931
432,57.74481767168663,25.13046541049229,180304599565187.2,3.334284856403228
424,80.12080681696045,39.13316424406188,395497573435865.25,3.121383932449484
424,23.210507617696173,90.55599138592942,1868531147239.9202,4.894420097356626
677,72.77809787724554,45.035367022221934,370814489338612.9,3.1383263930201535
677,87.33890108311826,28.6950507233349,341431114271385.94,3.1601653843862936
677,14.342121643952204,83.70968538516804,444944950110.8497,5.52140423386053
677,135.53484952710772,80.95488985146808,88899427459.17464,6.3212033073131435
829,72.77809787724554,45.035367022221934,375612177290628.5,3.134939326241704
829,87.33890108311826,28.6950507233349,346078871075356.94,3.1565782843010157
829,23.210507617696173,90.55599138592942,1858517757091.6975,4.8966297582622955
413,72.86495679884345,45.05088281968543,374114452032348.06,3.135991629938626
413,87.33890108311826,28.6950507233349,339419787508871.8,3.1617341524727354
413,23.210507617696173,90.55599138592942,1890773249758.5894,4.889557502200025
744,72.77809787724554,45.035367022221934,375013744765344.3,3.1353592391541794
744,87.33890108311826,28.6950507233349,345407182042573.44,3.1570934491849383
744,23.210507617696173,90.55599138592942,1878957847533.0605,4.89213283136745
826,72.77809787724554,45.035367022221934,372440511091002.06,3.1371731607446183
826,87.33890108311826,28.6950507233349,342866447554167.06,3.1590519850043113
826,23.210507617696173,90.55599138592942,1856196833808.5806,4.897143760172001
971,72.77809787724554,45.035367022221934,371910655474476.25,3.1375483526701604
971,87.33890108311826,28.6950507233349,338474074066048.8,3.1624752641723544
971,23.210507617696173,90.55599138592942,1980403322452.261,4.870571972996915
128,72.77809787724554,45.035367022221934,376470507841717.25,3.1343383103478204
128,87.33890108311826,28.6950507233349,343117744820954.75,3.158857571527603
128,23.210507617696173,90.55599138592942,1896723543434.0063,4.888267150754892
763,72.77809787724554,45.035367022221934,373505668066693.44,3.1364206683774802
763,87.33890108311826,28.6950507233349,344412342581931.9,3.1578584592577035
763,23.210507617696173,90.55599138592942,1864674110275.8672,4.895269708701165
214,74.07394842310612,42.995530763414706,392594728922072.06,3.1233160765127774
214,92.92924096562342,20.858812526730517,225105457693008.66,3.272704891352045
214,23.210507617696173,90.55599138592942,1897400965663.804,4.888120526583472
995,72.77809787724554,45.035367022221934,366067044707779.6,3.1417250762652777
995,87.33890108311826,28.6950507233349,341364567533396.3,3.1602171282264107
995,23.210507617696173,90.55599138592942,1858014846061.8972,4.8967410760847
672,72.77809787724554,45.035367022221934,375195713249571.1,3.135231477245257
672,87.33890108311826,28.6950507233349,344795246000054.7,3.1575637315869804
