# x,y,z,concentration,mass,chi2
8.317326026185720877e+01,1.374309878535197527e+02,0.000000000000000000e+00,2.412464489124257483e+00,1.149615739016033250e+15,7.690989761030577938e+03
6.676790520338376211e+01,9.284592934193905478e+01,0.000000000000000000e+00,3.193759233840415046e+00,4.074381617749657031e+13,7.709562213316587076e+03
4.546645907250448460e+01,1.108995830891870185e+02,0.000000000000000000e+00,2.671130261172753873e+00,3.419446541848119375e+14,7.714343550416817379e+03
2.134889693294442736e+01,3.977401490894917657e+01,0.000000000000000000e+00,3.103870027176650392e+00,5.723538812961690625e+13,7.733892402577959729e+03
1.357990684002336366e+02,4.947219818034361793e+01,0.000000000000000000e+00,3.152266752080198575e+00,4.760706057133872656e+13,7.735090367493280610e+03
1.116877857904310360e+02,1.138688218190707744e+02,0.000000000000000000e+00,2.839555386571410267e+00,1.651283236884604375e+14,7.721616501271095331e+03
3.594998850396549983e+01,1.460944848085190699e+02,0.000000000000000000e+00,2.441592010172970006e+00,9.965592137122610000e+14,7.715498841052371063e+03
1.208331973759186155e+02,9.543147157023901173e+01,0.000000000000000000e+00,2.959504193937566363e+00,1.009042554001160156e+14,7.729201266018468232e+03
4.699530454744463270e+01,8.967865654026594768e+01,0.000000000000000000e+00,3.491214946490025728e+00,1.411406133548266016e+13,7.731410302393078382e+03
5.194225475190718555e+01,1.742799440673469036e+01,0.000000000000000000e+00,3.830268224543854849e+00,4.682247733035445312e+12,7.736722468780273630e+03
1.035523654735522570e+01,7.102517905168600976e+01,0.000000000000000000e+00,3.362813742836265440e+00,2.204892461088301562e+13,7.739408854917875942e+03
1.396006863871061796e+02,8.839265749813161221e+01,0.000000000000000000e+00,3.035836292384276547e+00,7.451609574395762500e+13,7.736770546068703879e+03
