# x,y,z,concentration,mass,chi2
6.437605262384811056e+01,-2.235432169254558232e+01,0.000000000000000000e+00,2.698718995694563638e+00,5.557965073859829000e+15,1.440170232801832753e+04
5.422319342207941162e+01,1.603481345418844057e+02,0.000000000000000000e+00,2.739918633083459287e+00,4.640689179350807000e+15,1.465459972748821383e+04
1.323606860028564824e+02,1.076992899661754421e+02,0.000000000000000000e+00,7.224772085061792914e+00,4.504515974053025818e+10,1.724089059072380041e+04
1.262661792250904114e+02,2.230548020875590254e+01,0.000000000000000000e+00,5.801678399450045376e+00,6.135087361478806152e+11,1.723342494219857690e+04
2.156030868723387783e+01,6.322524017553134001e+01,0.000000000000000000e+00,5.114003401375204483e+00,2.754952202501365234e+12,1.721876092684348623e+04
4.331022759629391317e+00,4.634472386187013626e+00,0.000000000000000000e+00,4.353678870014306312e+00,1.872026237217118359e+13,1.721456902245006131e+04
1.252907064836834081e+02,5.014002923125807598e+01,0.000000000000000000e+00,5.865200284148844645e+00,5.389156576531629028e+11,1.723594415570872661e+04
1.067786633276263473e+02,1.309757493542241491e+02,0.000000000000000000e+00,3.938158458099553005e+00,6.179047291016579688e+13,1.717003995662397210e+04
1.167521882142666101e+01,9.726378884237004740e+01,0.000000000000000000e+00,6.370739860365283391e+00,2.013984953221103821e+11,1.723857583639483710e+04
8.752282647372192059e+01,5.724090818709400708e+01,0.000000000000000000e+00,5.802839458390081973e+00,6.120489762019635010e+11,1.722900011845527115e+04
1.233584938901439045e+02,8.115287162594894710e+01,0.000000000000000000e+00,6.192175386499331857e+00,2.825139047391522827e+11,1.723774083486681047e+04
2.333468788733430443e+01,3.558615353298320372e+01,0.000000000000000000e+00,4.772570032350329505e+00,6.271342622013733398e+12,1.721181075929991493e+04
4.754853619850888435e+01,3.330353998517410474e+01,0.000000000000000000e+00,4.613039833528189249e+00,9.400167444816871094e+12,1.717323951968608890e+04
1.210399100107786126e+02,-5.500421386001917767e+00,0.000000000000000000e+00,3.374128278405780446e+00,3.891411856213511250e+14,1.676916277657418686e+04
7.674814895671210024e+01,7.289366426942223143e+01,0.000000000000000000e+00,7.279595199661073934e+00,4.116838793553842163e+10,1.724108632806569585e+04
