catalog,src_id,img_id,ra_deg,dec_deg,theta_x_arcsec,theta_y_arcsec,z,z_type,z_err,pos_err_arcsec,notes
Furtak2023,0,0.1,3.615330,-30.461230,83.784063,-219.935129,,unknown,,,from_vizier
Furtak2023,1,1.1,3.616715,-30.460770,88.081563,-218.280385,,unknown,,,from_vizier
Furtak2023,2,2.1,3.618331,-30.460680,93.098086,-217.955741,,unknown,,,from_vizier
Furtak2023,3,3.1,3.617839,-30.460489,91.571264,-217.268630,,unknown,,,from_vizier
Furtak2023,4,4.1,3.616569,-30.460547,87.629140,-217.475050,,unknown,,,from_vizier
Furtak2023,5,5.1,3.618920,-30.460291,94.923995,-216.554642,,unknown,,,from_vizier
Furtak2023,6,6.1,3.619491,-30.460245,96.697815,-216.390949,,unknown,,,from_vizier
Furtak2023,7,7.1,3.619048,-30.460227,95.320529,-216.327030,,unknown,,,from_vizier
Furtak2023,8,8.1,3.615067,-30.460234,82.968592,-216.349568,,unknown,,,from_vizier
Furtak2023,9,9.1,3.616844,-30.460104,88.483403,-215.882624,,unknown,,,from_vizier
Furtak2023,10,10.1,3.620248,-30.459883,99.047074,-215.087206,,unknown,,,from_vizier
Furtak2023,11,11.1,3.620159,-30.459831,98.770180,-214.899752,,unknown,,,from_vizier
Furtak2023,12,12.1,3.617786,-30.459680,91.407413,-214.355358,,unknown,,,from_vizier
Furtak2023,13,13.1,3.615803,-30.459576,85.253172,-213.980248,,unknown,,,from_vizier
Furtak2023,14,14.1,3.617510,-30.459464,90.548889,-213.579607,,unknown,,,from_vizier
Furtak2023,15,15.1,3.616167,-30.459438,86.384071,-213.483665,,unknown,,,from_vizier
Furtak2023,16,16.1,3.618761,-30.459700,94.432649,-214.428858,,unknown,,,from_vizier
Furtak2023,17,17.1,3.619065,-30.459562,95.375128,-213.931859,,unknown,,,from_vizier
Furtak2023,18,18.1,3.616803,-30.459386,88.357697,-213.296432,,unknown,,,from_vizier
Furtak2023,19,19.1,3.620573,-30.459320,100.055903,-213.062948,,unknown,,,from_vizier
Furtak2023,20,20.1,3.620233,-30.459399,99.000341,-213.344599,,unknown,,,from_vizier
Furtak2023,21,21.1,3.616336,-30.459257,86.907864,-212.831508,,unknown,,,from_vizier
Furtak2023,22,22.1,3.620016,-30.459200,98.326333,-212.628627,,unknown,,,from_vizier
