ID,NAME,z,ra,dec,x ,y,xc,yc,a,f1,f2,g1,g2,xs,ys
0,abell2744_32,2.3452,3.590324235,-30.43447303,134.8051369,14.009258,-0.401843335,-1.597012408,0.149900512,-1.436098599,0.578484316,-0.071594693,-1.793954227,135.2069802,15.60627041
1,abell2744_46,0.3599,3.585958851,-30.43354474,147.764351,17.18313837,-0.992420237,-1.765614654,0.151600109,-1.089413102,1.285704463,-1.635604312,0.895978476,148.7567712,18.94875302
2,abell2744_53,1.3456,3.585843877,-30.43237133,144.5179373,23.24586256,-4.595627749,0.072843619,0.30787533,-0.270576027,-0.9129317,0.397155471,1.027890567,149.1135651,23.17301894
3,abell2744_150,1.0343,3.567877772,-30.4251453,202.3559483,48.35484798,-2.528028763,-0.828956023,0.352196575,0.192419941,-0.195041438,0.291839253,0.192090778,204.8839771,49.183804
4,abell2744_157ep1,0.3324,3.586167507,-30.42499311,149.1662662,48.02540042,1.05782626,-1.709122531,0.37645734,-0.683385841,1.07272324,-0.598556087,-1.049853353,148.1084399,49.73452295
6,abell2744_185,1.2987,3.585906131,-30.42324751,150.8501576,53.12127456,1.930468085,-2.897409811,0.422823262,0.485140492,0.567297928,-0.031042162,0.051673497,148.9196895,56.01868438
7,abell2744_192,0.4253,3.560894427,-30.42327736,225.4803383,53.92977293,-1.082896597,-1.975102807,0.281463602,-0.056320218,0.067043559,0.194438696,-0.034761719,226.5632349,55.90487573
8,abell2744_196ep1,0.4678,3.563477253,-30.42148825,217.3029989,60.12610504,-1.243547959,-2.220992979,0.462615732,0.177573211,0.086216541,-0.288164687,-0.495528241,218.5465469,62.34709802
9,abell2744_198ep1,1.0953,3.563496892,-30.42257892,216.7656874,56.26692821,-1.719192417,-2.153756226,0.254947296,0.023377969,0.495447092,0.049926981,1.056893449,218.4848798,58.42068444
10,abell2744_201,1.8082,3.559918401,-30.42213252,227.6465321,58.36000921,-1.94743504,-1.665654989,0.357787074,0.113579404,0.023701144,-1.159057948,0.783242312,229.5939671,60.0256642
