ID,x ,y,f1,f2
0,134.8051369,14.009258,-1.436098599,0.578484316
1,147.764351,17.18313837,-1.089413102,1.285704463
2,144.5179373,23.24586256,-0.270576027,-0.9129317
3,202.3559483,48.35484798,0.192419941,-0.195041438
4,149.1662662,48.02540042,-0.683385841,1.07272324
6,150.8501576,53.12127456,0.485140492,0.567297928
7,225.4803383,53.92977293,-0.056320218,0.067043559
8,217.3029989,60.12610504,0.177573211,0.086216541
9,216.7656874,56.26692821,0.023377969,0.495447092
10,227.6465321,58.36000921,0.113579404,0.023701144
11,232.8987357,60.41928409,0.221607879,-0.408590436
13,225.6643425,58.81989291,0.34048538,-0.708528913
14,224.6532984,66.66055385,-1.176150155,-0.301135499
15,216.7748653,72.61919498,0.089693425,0.116998936
16,221.2297672,78.73592302,-0.154412692,-0.469806516
17,231.7160156,76.26672152,0.284815462,-0.989214423
19,218.8122505,77.66979084,-0.824261373,-0.074531911
20,231.665572,78.02700125,-0.401780653,0.208026812
21,222.6143426,76.71677652,-0.23080671,1.13654627
23,255.8025931,84.93754548,0.029386564,-0.296999656
25,258.8628961,84.233302,-0.12370735,0.093517098
27,222.7487477,85.38263853,0.361923357,0.266529325
28,253.3272195,86.37592272,0.179736798,-0.023742828
30,235.8063023,87.21597796,0.044609498,0.217591615
31,230.8432843,87.504131,0.904217089,-0.094461788
32,188.8153179,87.77151761,-0.180293264,1.153494433
33,266.5495786,88.36622122,-0.269772101,0.254853653
35,286.4517193,89.98722019,-0.124078373,-0.299338897
36,234.9492229,88.78366099,0.17878842,0.97669312
37,259.2321283,90.24660741,-0.436428301,-0.133547449
38,228.186276,89.49389978,-0.761285961,0.44155944
41,245.3428205,91.36188148,-0.225740074,0.093596377
42,178.798069,90.89445344,-0.220478079,-0.358765619
43,299.9259417,92.21640414,0.138087136,-1.286073637
44,265.9954399,92.96338004,1.376047983,0.686789938
45,300.324171,92.15846267,-0.352139798,-0.595223818
46,278.6806474,92.62770654,-0.307269015,0.406539039
47,266.3097525,93.56288635,-0.779781422,0.373180289
48,300.7298395,97.11080197,0.197609404,0.02780061
50,298.8592104,99.24729637,0.424167772,-0.497254113
51,303.1203497,100.3792402,0.538859093,0.340790153
52,285.4700752,101.7827608,0.126184283,-0.169599294
53,304.2526844,102.743643,-0.268686512,-1.828411492
54,272.6714531,103.9626314,0.375916065,-0.40691074
55,249.3674373,105.0401599,0.843086953,-1.242627145
58,267.5906212,110.1195853,-0.082768179,0.042263023
59,252.3357321,108.818228,1.67480134,-0.194485274
61,296.3567337,113.7752238,-0.303034495,-0.434410504
62,270.7620353,109.8278718,-0.600153992,-0.208630208
63,270.7811133,118.5440705,-0.619194713,-0.212998474
64,267.2704712,112.5918964,0.565024586,0.106783199
65,299.7342212,111.6508787,-0.110929119,0.537277726
66,272.1669608,113.2663133,1.335479227,1.654574484
68,256.5582091,114.0546827,0.387815285,0.491178174
70,259.8596993,118.7141447,1.363973143,-0.301630247
71,138.8138672,116.6783803,0.298014768,1.034848972
72,292.7350744,118.7452398,0.122554062,-0.039470544
73,274.0633749,121.0676472,0.483527971,0.48593398
76,138.8696783,122.4693483,0.084804028,0.108718027
77,204.1857515,123.1466963,0.625092457,-0.0578934
78,274.0588564,130.0495068,0.459591283,-0.697073306
79,278.9537564,128.8850968,-0.0528667,0.103330764
81,280.307398,127.7784826,0.974263714,-0.885721148
82,199.9761092,128.0533836,1.079883021,1.012273047
83,270.9712749,130.3096255,-0.096704157,0.33402986
84,251.5761836,138.5040334,-0.027219351,0.02042713
85,288.6597675,130.5969614,0.029056618,0.344187299
86,271.6431209,132.260143,0.201748118,-1.933149065
87,255.7712577,131.7268607,0.619069465,0.903236143
90,183.037845,139.0160972,-0.234390313,-0.284632274
91,151.8688627,137.5672089,0.13454668,0.25174676
92,137.4298892,140.7298106,0.055021683,-0.257544082
93,156.8330087,142.1914617,-0.068601265,-0.32460837
94,288.4711188,139.8908552,-0.377409906,0.286698783
95,268.7201765,140.65394,0.016332386,-0.036350615
96,247.3653822,141.8051461,0.27685862,0.347161466
97,267.9651315,140.3766312,-0.62487338,0.280291966
98,261.9690734,141.2951156,-0.384727911,-0.265516188
99,152.2575516,144.4110735,0.02832479,0.004766986
100,265.8511673,144.6133293,0.013026782,0.088767207
102,288.3539183,147.9964284,-0.175751314,0.05709653
104,265.6451399,145.5548729,-0.290356904,0.820543059
105,275.0502517,146.7872357,-0.051665996,1.22770264
106,151.8117796,152.491947,0.010204343,-0.034369994
107,171.5104505,165.3702814,-0.332808772,-0.159103126
108,136.8764822,162.6384871,0.13137767,-0.407062179
110,267.6581801,178.7990451,-0.076392306,-0.024917935
111,269.3553012,176.5097714,-0.125576819,0.630329226
113,118.5892394,185.9464009,-0.494557703,0.823753935
115,259.3047698,189.5990732,-1.806135022,-0.326472841
117,198.3091019,191.0717636,-0.090254778,0.698636506
118,248.6466992,194.230053,0.229064302,0.264272339
119,260.2595059,195.7814966,-0.541498092,-0.11749092
120,97.36837266,195.952611,0.80265628,-1.448678984
121,31.71971903,195.1349628,0.657044173,1.223332953
122,200.8424986,197.6609593,-0.191326157,0.033595956
124,252.6333291,196.8918704,-0.251916625,0.629792441
125,251.9997204,199.0164919,1.114958639,-0.317774193
127,33.85507144,201.7035266,-1.074978284,0.184461661
131,240.2952547,206.4910464,1.315721993,0.650788943
132,240.3142868,207.8883232,-0.121499799,-1.594407537
134,233.7181352,208.5620867,0.165763064,0.229297112
135,53.92012438,208.1889614,0.392209292,0.22631294
137,42.9557861,212.0514121,0.07383684,0.024873398
138,40.280521,209.9881371,-0.018899093,0.32509581
139,238.0745887,218.9182892,0.031373154,0.104785079
142,235.0820747,211.3615053,0.116795291,0.217129847
