i,x,y,M200,concentration
1050,78.3344682592055,42.01029510740466,390939294169607.06,3.124424886557039
1050,16.247132939126416,87.42652849847951,5267080436735.423,4.48637318069557
982,78.3344682592055,42.01029510740466,393841405861733.7,3.1224843927562453
982,16.247132939126416,87.42652849847951,4972523238569.521,4.508113260883524
129,78.3344682592055,42.01029510740466,397893419920866.56,3.1198007923303326
129,16.247132939126416,87.42652849847951,5045537960114.446,4.502596645796508
175,78.3344682592055,42.01029510740466,397744326127326.2,3.119899009445436
175,16.247132939126416,87.42652849847951,4866957309204.035,4.51624650555616
769,78.3344682592055,42.01029510740466,396462187245842.44,3.1207452828952693
769,16.247132939126416,87.42652849847951,4779376067229.347,4.523140627398566
992,78.3344682592055,42.01029510740466,404618760089077.4,3.115411411695144
992,16.247132939126416,87.42652849847951,4622170681528.42,4.535865931397151
780,78.3344682592055,42.01029510740466,395215785868787.44,3.1215708165017135
780,16.247132939126416,87.42652849847951,5115820800776.433,4.497367575657375
592,78.3344682592055,42.01029510740466,395677081610611.0,3.1212649562567547
592,16.247132939126416,87.42652849847951,4960383401108.101,4.509038993194208
136,78.3344682592055,42.01029510740466,394268811784006.3,3.1221999182225915
136,16.247132939126416,87.42652849847951,4989249476112.509,4.506841794481323
241,78.31291786110066,42.03286591431861,393982608205712.2,3.122390373737181
241,16.247132939126416,87.42652849847951,4939701154590.419,4.510621803703383
120,78.3344682592055,42.01029510740466,394835077865922.2,3.1218235350048653
120,16.247132939126416,87.42652849847951,4949466437793.232,4.509873574042353
212,78.3344682592055,42.01029510740466,392837721021245.44,3.1231537470845794
212,16.247132939126416,87.42652849847951,5074779565851.516,4.50041152621458
878,78.3344682592055,42.01029510740466,394372287630145.75,3.1221310966193077
878,16.247132939126416,87.42652849847951,5056713393085.292,4.501759929293464
856,78.3344682592055,42.01029510740466,397393541012186.25,3.1201302503503947
856,16.247132939126416,87.42652849847951,4971160116223.713,4.508217084620137
467,78.3344682592055,42.01029510740466,395846061854013.06,3.1211530113213417
467,16.247132939126416,87.42652849847951,5018061377961.106,4.5046624177792935
628,78.3344682592055,42.01029510740466,392115764403755.5,3.1236363650685797
628,16.247132939126416,87.42652849847951,5166421635698.659,4.493650841508982
1065,78.3344682592055,42.01029510740466,395742836616891.4,3.1212213891484373
1065,16.247132939126416,87.42652849847951,5029431384010.892,4.503806103020645
435,78.3344682592055,42.01029510740466,392936617139853.1,3.1230877112816957
643,78.3344682592055,42.01029510740466,396914292447262.2,3.1204465334927676
643,16.247132939126416,87.42652849847951,4809033112012.3,4.520790890480777
343,78.3344682592055,42.01029510740466,394565268490213.75,3.12200279766728
402,78.3344682592055,42.01029510740466,395410553044962.3,3.1214416297480687
188,78.3344682592055,42.01029510740466,396718822528940.06,3.120575653984707
188,16.247132939126416,87.42652849847951,4926600517686.414,4.511628115148556
381,78.3344682592055,42.01029510740466,394892790540849.3,3.1217852076624344
381,16.247132939126416,87.42652849847951,4999480266581.3125,4.506066363212433
700,78.3344682592055,42.01029510740466,395646042531041.1,3.1212855244586475
700,16.247132939126416,87.42652849847951,4875332249230.676,4.515594312246665
1070,78.3344682592055,42.01029510740466,397596709506810.1,3.1199962927830165
1070,16.247132939126416,87.42652849847951,1386833270846.5537,5.0185382024199905
229,78.3344682592055,42.01029510740466,396920404722071.06,3.120442497052396
229,16.247132939126416,87.42652849847951,4904008007458.678,4.513370368338955
690,78.3344682592055,42.01029510740466,398177934968879.75,3.119613475685422
690,16.247132939126416,87.42652849847951,4822061698570.492,4.5197635929093805
838,78.3344682592055,42.01029510740466,394483208620628.7,3.1220573449977995
838,16.247132939126416,87.42652849847951,4986594987092.779,4.507043270136298
800,78.3344682592055,42.01029510740466,395260332274053.0,3.121541263314264
800,16.247132939126416,87.42652849847951,4952213458302.757,4.509663381860095
621,78.3344682592055,42.01029510740466,395819600316597.94,3.121170537967795
621,16.247132939126416,87.42652849847951,5018407611565.941,4.504636310684623
71,78.3344682592055,42.01029510740466,396011915238370.44,3.1210431882085086
71,16.247132939126416,87.42652849847951,4994205174443.789,4.506465967864861
