i,x,y,M200,concentration
807,76.86460142062028,45.17883530753813,377315102901891.2,3.133748360418142
400,78.97217596469682,40.297015373165266,384244357366376.3,3.128961660712136
400,15.79701416333831,82.64364868303365,3642519139807.037,4.627532918772879
512,76.86460142062028,45.17883530753813,377592390221526.06,3.1335549872133948
961,78.97217596469682,40.297015373165266,389573599457172.25,3.1253434669960094
961,15.79701416333831,82.64364868303365,3667944974388.3516,4.624829807380947
657,76.86460142062028,45.17883530753813,375094815339373.1,3.1353023103875035
729,76.86460142062028,45.17883530753813,374454167503463.06,3.135752545472861
37,76.86460142062028,45.17883530753813,378722313766531.3,3.1327685954812154
432,76.86460142062028,45.17883530753813,376116061508309.75,3.134586318747966
127,76.86460142062028,45.17883530753813,373839304202520.8,3.136185445641506
510,76.86460142062028,45.17883530753813,376556447622589.06,3.134278215849955
1008,78.97217596469682,40.297015373165266,389639746783742.7,3.1252988952289766
514,78.97217596469682,40.297015373165266,388664985091785.6,3.125956546311617
782,76.86460142062028,45.17883530753813,369129616882054.56,3.139527161633196
732,76.86460142062028,45.17883530753813,375747224762598.4,3.134844665347455
238,78.97217596469682,40.297015373165266,389481886852536.56,3.125405278878133
238,15.79701416333831,82.64364868303365,3699015841255.8496,4.621553996888273
341,78.97217596469682,40.297015373165266,383878950696257.44,3.1292117369560954
341,15.79701416333831,82.64364868303365,3605017066235.6113,4.63155745967904
664,78.97217596469682,40.297015373165266,386631167469106.56,3.1273344957900706
664,15.79701416333831,82.64364868303365,3651788205555.5786,4.62654512887448
675,76.86460142062028,45.17883530753813,376251823282362.7,3.1344912954295916
1075,76.86460142062028,45.17883530753813,374029927286224.75,3.1360511532052953
789,76.86460142062028,45.17883530753813,373769382160798.06,3.1362347237685007
132,76.86460142062028,45.17883530753813,368663193443239.9,3.1398606207495257
239,76.86460142062028,45.17883530753813,372079909985494.4,3.137428440229757
763,76.86460142062028,45.17883530753813,381065141417407.2,3.1311461328151293
1057,76.86460142062028,45.17883530753813,375909483791674.9,3.134730979402901
1040,78.97217596469682,40.297015373165266,394218402296630.5,3.1222334525768822
1040,15.79701416333831,82.64364868303365,3713567915095.11,4.620030008942866
507,76.86460142062028,45.17883530753813,371901948170667.25,3.1375545231693702
1052,76.86460142062028,45.17883530753813,377057391595448.9,3.1339282199706866
1033,78.97217596469682,40.297015373165266,391347172878707.75,3.124151217555585
1033,15.79701416333831,82.64364868303365,3537698650708.0645,4.638896911018359
218,76.86460142062028,45.17883530753813,375997194282768.5,3.1346695476504256
23,76.86460142062028,45.17883530753813,373653715180880.06,3.136316262954455
456,76.86460142062028,45.17883530753813,371155030641928.9,3.138084415842506
456,14.333423719692405,91.55125720026119,3123882517626.7437,4.6876256010334565
313,78.97217596469682,40.297015373165266,391640981040102.7,3.123954276471667
313,15.79701416333831,82.64364868303365,3567568575028.263,4.635621793304734
943,72.81968587901845,43.688333472919865,375384401923777.44,3.1350990679393185
1088,76.86460142062028,45.17883530753813,375689410680742.25,3.134885185342498
70,76.86460142062028,45.17883530753813,375668563930687.8,3.1348997978044277
903,78.97217596469682,40.297015373165266,389323807210069.4,3.125511857441218
903,15.79701416333831,82.64364868303365,3773511865769.252,4.613819828639603
90,76.86460142062028,45.17883530753813,374217878890347.0,3.13591881542382
612,76.86460142062028,45.17883530753813,376531115336717.94,3.134295928231473
890,76.86460142062028,45.17883530753813,373294122271796.44,3.136569932057212
913,78.97217596469682,40.297015373165266,390530048282721.9,3.1246997841218582
913,15.79701416333831,82.64364868303365,3724126647950.4175,4.618928276738341
117,76.86460142062028,45.17883530753813,373478728394413.25,3.136439671531262
52,76.86460142062028,45.17883530753813,372643607813326.0,3.137029500881844
668,76.86460142062028,45.17883530753813,373426603246411.1,3.136476444653747
30,76.86460142062028,45.17883530753813,374698126524112.06,3.135580997350758
200,76.86460142062028,45.17883530753813,373217851911250.44,3.1366237698202264
957,76.86460142062028,45.17883530753813,369659138457057.44,3.1391491450633944
22,78.97217596469682,40.297015373165266,387736679666153.06,3.126584518593965
22,15.79701416333831,82.64364868303365,1560619833087.2097,4.969015064585948
868,76.86460142062028,45.17883530753813,374148336072173.06,3.135967772513991
623,76.86460142062028,45.17883530753813,375303392794628.6,3.1351559059799037
796,76.86460142062028,45.17883530753813,374205318690485.5,3.1359276568843972
28,76.86460142062028,45.17883530753813,372910366488797.2,3.1368409388222713
769,76.86460142062028,45.17883530753813,376527448460832.6,3.134298492224954
358,78.97217596469682,40.297015373165266,387607187983043.3,3.1266722455521623
358,15.79701416333831,82.64364868303365,3742734647710.312,4.616994875033185
835,76.86460142062028,45.17883530753813,374979738595521.9,3.135383122681839
476,76.4022511122372,44.978837577077044,378519436486090.56,3.1329096042908557
175,78.97217596469682,40.297015373165266,390973376673820.44,3.1244020068201226
175,15.79701416333831,82.64364868303365,3635031183610.9175,4.628332890366485
585,76.8107778109115,45.12471574756831,376800599681640.7,3.1341075704622887
208,76.86460142062028,45.17883530753813,373303936089753.3,3.136563005539985
158,76.86460142062028,45.17883530753813,374246621008291.8,3.1358985842886016
971,76.86460142062028,45.17883530753813,373409385464350.06,3.1364885926352444
429,76.86460142062028,45.17883530753813,367987262117596.94,3.1403446753590463
785,78.97217596469682,40.297015373165266,387676638589771.7,3.1266251907779865
785,15.79701416333831,82.64364868303365,3572593391280.4883,4.6350737639794675
386,76.86460142062028,45.17883530753813,381226569758890.44,3.1310347383821684
320,76.86460142062028,45.17883530753813,373294881990164.75,3.136569395846782
530,76.86460142062028,45.17883530753813,373651776209336.5,3.1363176300613955
530,20.70482913797474,92.90259974211261,2457448320413.4517,4.7830683015529045
530,99.07734992052342,17.703747355929238,159271612365322.16,3.369206640584553
294,76.86460142062028,45.17883530753813,377108202955695.2,3.1338927476195195
468,78.97217596469682,40.297015373165266,388728664747757.9,3.125913528436867
1063,76.86460142062028,45.17883530753813,375613594455401.0,3.134938332695148
450,78.97217596469682,40.297015373165266,388930114672952.0,3.125777492130228
450,15.79701416333831,82.64364868303365,3719179785134.6255,4.619444026193417
280,78.97217596469682,40.297015373165266,388430114286459.7,3.1261152759856454
280,15.79701416333831,82.64364868303365,3670783921381.5474,4.624529250008176
822,78.97217596469682,40.297015373165266,389253971044652.5,3.1255589564846473
822,15.79701416333831,82.64364868303365,3688980197871.9165,4.622608786155634
1110,78.97217596469682,40.297015373165266,391116038069306.9,3.124306261049246
1110,15.79701416333831,82.64364868303365,3632192813987.0703,4.628636592990123
811,76.86460142062028,45.17883530753813,379102558522987.4,3.132504528738006
738,76.86460142062028,45.17883530753813,375026570132127.9,3.1353502321336504
69,78.97217596469682,40.297015373165266,389925794533108.1,3.1251062432942476
69,15.79701416333831,82.64364868303365,3649264520785.842,4.626813804540287
327,72.93733637675247,43.12446736453985,379650876123292.3,3.1321242463446684
1105,76.86460142062028,45.17883530753813,377561795474181.3,3.1335763156644743
601,76.86460142062028,45.17883530753813,372234762846281.75,3.1373187827703015
302,76.86460142062028,45.17883530753813,376081247702805.75,3.1346106918567784
219,78.97217596469682,40.297015373165266,390564055963018.1,3.1246769286790133
219,15.79701416333831,82.64364868303365,3719369599803.855,4.619424222801525
820,76.86460142062028,45.17883530753813,375402834854682.8,3.1350861367887344
672,76.86460142062028,45.17883530753813,376298071910221.44,3.1344589332576396
140,78.97217596469682,40.297015373165266,390879403106069.75,3.1244650969334375
140,15.79701416333831,82.64364868303365,3738729437037.7114,4.61741014164569
290,78.97217596469682,40.297015373165266,389271946958987.0,3.1255468322579203
290,15.79701416333831,82.64364868303365,3584526295799.6416,4.633775648293602
8,76.86460142062028,45.17883530753813,376349917140733.6,3.134422660025285
390,78.97217596469682,40.297015373165266,388848970567066.56,3.1258322784171275
390,15.79701416333831,82.64364868303365,3692074846090.591,4.62228319395244
298,76.86460142062028,45.17883530753813,377601245132035.3,3.1335488145580377
808,78.97217596469682,40.297015373165266,391264981569233.56,3.1242063394928627
808,15.79701416333831,82.64364868303365,3646697171014.909,4.62708733560415
184,76.86460142062028,45.17883530753813,378356836346058.5,3.133022677837439
264,76.86460142062028,45.17883530753813,373793607937500.2,3.1362176493242853
1069,76.86460142062028,45.17883530753813,375495712394268.7,3.135020991398908
318,76.86460142062028,45.17883530753813,372926234768487.94,3.1368297267172407
307,76.86460142062028,45.17883530753813,382172509203475.5,3.1303830141174127
345,78.97217596469682,40.297015373165266,390298886212736.4,3.1248551977389916
345,15.79701416333831,82.64364868303365,3706825694356.038,4.620735291867167
296,78.36374843551718,42.00452502488545,393985478091246.8,3.1223884632140724
697,76.86460142062028,45.17883530753813,377778140449768.2,3.1334255357518415
1107,76.86460142062028,45.17883530753813,377563021861417.44,3.1335754606797077
502,76.86460142062028,45.17883530753813,373499980016956.0,3.136424680584805
349,76.86460142062028,45.17883530753813,367823992256680.4,3.140461742307497
940,78.97217596469682,40.297015373165266,390631269940026.3,3.1246317627214926
940,15.79701416333831,82.64364868303365,3654564967266.9277,4.626249742681121
793,76.86460142062028,45.17883530753813,375897058378981.56,3.13473968332273
444,78.97217596469682,40.297015373165266,390879451409326.44,3.12446506450033
444,15.79701416333831,82.64364868303365,3654144338945.8823,4.6262944726171895
35,78.97217596469682,40.297015373165266,390596523583596.2,3.1246551102724744
35,15.79701416333831,82.64364868303365,3587492590625.427,4.633453688151078
225,76.86460142062028,45.17883530753813,371367563553161.7,3.1379335190558257
642,76.86460142062028,45.17883530753813,374549148813413.4,3.135685741720762
830,76.86460142062028,45.17883530753813,374544070682215.44,3.1356893128873633
141,76.86460142062028,45.17883530753813,372155301205711.7,3.13737504653483
252,76.86460142062028,45.17883530753813,376669100262430.2,3.134199464554917
406,78.97217596469682,40.297015373165266,393164577238023.94,3.122935564322974
406,15.79701416333831,82.64364868303365,3607546355795.2344,4.631284604331802
613,76.86460142062028,45.17883530753813,375676395636604.75,3.1348943080924525
216,76.86460142062028,45.17883530753813,370179337895434.6,3.1387783545464742
267,78.97217596469682,40.297015373165266,383935125537689.5,3.1291732753558676
267,15.79701416333831,82.64364868303365,4026868859684.0396,4.588703565458065
741,76.86460142062028,45.17883530753813,377996901785527.06,3.133273166921709
741,20.06158904630309,93.230901211113,3021846928256.383,4.700720019709205
1041,76.86460142062028,45.17883530753813,372447948649975.2,3.137167898311556
408,76.86460142062028,45.17883530753813,376074341614983.9,3.1346155270923424
368,78.97217596469682,40.297015373165266,381509211467486.1,3.1308398231413697
368,15.79701416333831,82.64364868303365,3596516339484.6294,4.632476026341065
368,136.56744128356286,76.47429676460945,107268076712.49428,6.22225420889734
571,76.86460142062028,45.17883530753813,371422147950277.25,3.137894779647957
44,76.86460142062028,45.17883530753813,375100689624460.3,3.135298185909607
124,76.86460142062028,45.17883530753813,375561315631880.7,3.1349749870479444
1089,76.86460142062028,45.17883530753813,376719381830617.25,3.1341643228103733
611,76.86460142062028,45.17883530753813,379918135974976.9,3.131939105632654
970,76.86460142062028,45.17883530753813,375965438189187.06,3.1346917875796585
801,76.86460142062028,45.17883530753813,376764754144408.9,3.1341326165032544
1038,78.97217596469682,40.297015373165266,391952720072356.75,3.1237454912731524
1038,15.79701416333831,82.64364868303365,3770381016421.482,4.614141529139239
938,78.97217596469682,40.297015373165266,389330504650308.7,3.1255073410217267
938,15.79701416333831,82.64364868303365,3704293061078.9937,4.621000582179886
82,78.97217596469682,40.297015373165266,392219324488507.2,3.1235670774411455
82,15.79701416333831,82.64364868303365,3669931580344.5806,4.624619460293405
643,76.86460142062028,45.17883530753813,377087587464286.44,3.13390713905105
993,76.86460142062028,45.17883530753813,373119733036626.3,3.1366930475671686
993,15.830581502464732,82.44657891807549,3961316810796.4224,4.5950341900389455
993,87.44835580643581,28.47815150227521,335533625725535.7,3.1647939773652936
50,76.86460142062028,45.17883530753813,376048283618817.94,3.134633772231869
713,76.86460142062028,45.17883530753813,373282454367275.56,3.1365781674313324
620,76.86460142062028,45.17883530753813,375408425906780.1,3.135082214665374
1044,76.86460142062028,45.17883530753813,377242699837183.25,3.1337988778586237
1060,78.97217596469682,40.297015373165266,393032441011170.6,3.123023744090527
1060,15.79701416333831,82.64364868303365,3683561926554.115,4.6231795635925925
939,78.97217596469682,40.297015373165266,386143970993209.94,3.12766574715058
939,15.79701416333831,82.64364868303365,3847436115270.6274,4.606306928255504
1046,78.97217596469682,40.297015373165266,390060595655087.06,3.1250155084182816
1046,15.79701416333831,82.64364868303365,3671431960703.591,4.624460677852436
489,78.97217596469682,40.297015373165266,389427296596503.6,3.1254420787653348
489,15.79701416333831,82.64364868303365,3746701373863.221,4.616584073082134
778,78.97217596469682,40.297015373165266,391700978712278.75,3.1239140794229936
778,15.79701416333831,82.64364868303365,3563983554467.134,4.63601330365049
215,78.97217596469682,40.297015373165266,390688721503728.5,3.124593163516461
215,15.79701416333831,82.64364868303365,3711627255083.9326,4.620232873046453
493,78.97217596469682,40.297015373165266,387280119765270.2,3.126893966568746
493,14.163557252277172,93.7916550087222,2767992273651.5845,4.735495434645429
733,76.86460142062028,45.17883530753813,374652299562892.56,3.135613212907319
303,76.9573751627286,42.72345261970999,393897265882379.4,3.122447194216019
813,76.86460142062028,45.17883530753813,375329086037631.2,3.1351378775150227
650,76.86460142062028,45.17883530753813,373524975902361.56,3.136407049609453
254,78.97217596469682,40.297015373165266,391810507105334.7,3.123840715150724
254,15.79701416333831,82.64364868303365,1645783235803.807,4.946886775810002
709,76.86460142062028,45.17883530753813,374900456632934.1,3.1354388138419926
242,76.86460142062028,45.17883530753813,369503598047554.4,3.1392601218353775
181,76.86460142062028,45.17883530753813,375400583390694.2,3.135087716208732
559,76.86460142062028,45.17883530753813,372292599885877.5,3.1372778387494105
853,76.86460142062028,45.17883530753813,375423727215515.75,3.1350714811202014
844,76.86460142062028,45.17883530753813,374927641382803.6,3.1354197166321436
634,76.86460142062028,45.17883530753813,376438328284600.25,3.1343608161439684
42,78.97217596469682,40.297015373165266,390487219354184.6,3.1247285711050274
42,15.79701416333831,82.64364868303365,3723766055925.8735,4.618965846200022
171,76.86460142062028,45.17883530753813,373943689031729.7,3.1361118981731115
690,76.86460142062028,45.17883530753813,369493670823203.44,3.139267206545388
924,76.86460142062028,45.17883530753813,374848044540949.4,3.1354756374256145
924,87.28871263946223,25.426334913946775,307614897269810.6,3.1879731359489285
924,15.79701416333831,82.64364868303365,3719329560065.0454,4.619428400062091
593,76.86460142062028,45.17883530753813,375591929124775.4,3.134953522279312
674,76.86460142062028,45.17883530753813,371159452787676.8,3.138081275197828
201,76.86460142062028,45.17883530753813,375576422520713.2,3.1349643945575343
1037,76.2540725608155,44.920409440228624,378336766540735.7,3.1330366382060393
596,76.86460142062028,45.17883530753813,374885642168419.06,3.1354492215933085
840,78.97217596469682,40.297015373165266,389249569201249.0,3.125561925491362
840,15.79701416333831,82.64364868303365,3649866688734.303,4.626749678450201
